Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,nn_order,nn_distance,nn_effort,mst_Lower_bound,bab_order,bab_distance,bab_effort
1312,0,0,0,0,"['380010', '6649', '75783', '208299', '208299']",72,"['208299', '75783', '208299', '380010', '6649']",58,0,52,"['380010', '6649', '208299', '208299', '75783']",68,0
1313,0,0,0,0,"['29598', '8659', '119359', '185354']",56,"['185354', '119359', '29598', '8659']",46,82.8,50,"['29598', '8659', '119359', '185354']",54,85.8
1314,0,0,0,0,"['283992', '195946', '252488', '231892', '476883', '205427', '262522', '103926']",78,"['262522', '103926', '476883', '283992', '195946', '252488', '231892', '205427']",72,36.4,54,"['283992', '195946', '252488', '476883', '262522', '103926', '205427', '231892']",76,23.8
1315,0,0,0,0,"['657914', '367585', '377050', '392104', '361424']",56,"['367585', '392104', '657914', '361424', '377050']",40,198.0,42,"['657914', '367585', '392104', '361424', '377050']",52,252.0
1316,0,0,0,0,"['2157342', '2175646']",60,"['2175646', '2157342']",58,0,62,"['2157342', '2175646']",62,0
1317,0,0,0,0,"['2225492', '2210310', '2225491', '2210077', '2210075']",58,"['2210075', '2225491', '2210077', '2225492', '2210310']",54,84.0,50,"['2225492', '2210075', '2210310', '2225491', '2210077']",60,70.0
1318,0,0,0,0,"['133911', '272463', '272258', '287467', '27626', '1164788']",72,"['272258', '272463', '133911', '287467', '1164788', '27626']",50,300.4,48,"['133911', '272463', '272258', '1164788', '287467', '27626']",60,296.0
1319,0,0,0,0,"['899474', '231434', '61210', '274852', '286783', '487008', '394262', '355027', '661692', '108335', '1637411', '1915391']",148,"['1915391', '286783', '661692', '1637411', '108335', '231434', '394262', '487008', '355027', '899474', '61210', '274852']",66,309.0,58,"['899474', '274852', '487008', '661692', '108335', '1915391', '1637411', '61210', '355027', '394262', '286783', '231434']",118,154.0
1320,0,0,0,0,"['17032', '68048', '324086', '364846']",50,"['364846', '324086', '17032', '68048']",46,79.4,38,"['364846', '17032', '68048', '324086']",50,73.0
1321,0,0,0,0,"['6768', '392017', '391888', '226774']",62,"['226774', '392017', '391888', '6768']",58,0,50,"['6768', '391888', '226774', '392017']",64,0
1322,0,0,0,0,"['155912', '22653', '385954', '1731168', '155925', '81066']",68,"['81066', '155925', '155912', '22653', '385954', '1731168']",54,471.4,54,"['155912', '22653', '385954', '155925', '81066', '1731168']",58,471.4
1323,0,0,0,0,"['172034', '499512', '1101247', '1919490']",92,"['1101247', '1919490', '172034', '499512']",72,844.0,62,"['172034', '499512', '1919490', '1101247']",76,1118.0
1324,0,0,0,0,"['631648', '177493', '122305', '379977']",50,"['379977', '177493', '122305', '631648']",42,120.8,30,"['177493', '379977', '122305', '631648']",44,128.8
1325,0,0,0,0,"['254402', '314958', '202244', '1017164', '780666', '5307']",96,"['202244', '254402', '314958', '780666', '5307', '1017164']",66,92.0,62,"['1017164', '254402', '314958', '5307', '780666', '202244']",86,303.6
1326,0,0,0,0,"['313671', '391850', '392819', '661741', '371142', '2151679', '171190', '868058', '286457']",94,"['391850', '2151679', '371142', '171190', '661741', '868058', '313671', '286457', '392819']",62,248.0,50,"['391850', '2151679', '171190', '313671', '371142', '868058', '286457', '661741', '392819']",68,226.0
1327,0,0,0,0,"['356984', '376926', '360031', '959056', '9006']",60,"['9006', '959056', '356984', '376926', '360031']",52,99.2,38,"['356984', '376926', '9006', '959056', '360031']",56,100.6
1328,0,0,0,0,"['935865', '256849', '156385', '110313']",52,"['110313', '256849', '156385', '935865']",48,840.0,42,"['935865', '156385', '110313', '256849']",54,910.0
1329,0,0,0,0,"['378592', '1372043', '377215', '1265149', '312315', '281713']",110,"['377215', '1372043', '312315', '281713', '378592', '1265149']",68,100.0,44,"['1372043', '377215', '312315', '281713', '378592', '1265149']",72,100.0
1330,0,0,0,0,"['220966', '2362', '151993', '174922', '713202', '1018135', '83403', '713209', '103961', '7132', '246555', '182378']",128,"['246555', '174922', '1018135', '83403', '7132', '182378', '151993', '713202', '713209', '103961', '220966', '2362']",80,3448.0,50,"['151993', '83403', '182378', '174922', '713202', '1018135', '7132', '103961', '713209', '246555', '220966', '2362']",114,2699.4
1331,0,0,0,0,"['251547', '1321', '215169', '9006']",98,"['1321', '9006', '215169', '251547']",72,47.6,54,"['215169', '251547', '9006', '1321']",78,35.8
1332,0,0,0,0,"['356984', '376926', '360031']",36,"['360031', '356984', '376926']",32,19.4,34,"['356984', '376926', '360031']",34,21.2
1333,0,0,0,0,"['286457', '117982', '241802', '252488', '393929']",84,"['286457', '241802', '252488', '117982', '393929']",60,0,56,"['117982', '241802', '286457', '393929', '252488']",82,0
1334,0,0,0,0,"['355027', '48365', '59313']",52,"['59313', '355027', '48365']",48,0,50,"['355027', '48365', '59313']",50,0
1335,0,0,0,0,"['365587', '424884', '219130', '310251', '53240', '393069', '391857']",82,"['53240', '424884', '310251', '393069', '365587', '219130', '391857']",60,747.4,42,"['310251', '53240', '393069', '365587', '424884', '219130', '391857']",82,1035.4
1336,0,0,0,0,"['194626', '1017138', '89769', '258569', '383599', '381992']",84,"['89769', '1017138', '258569', '383599', '381992', '194626']",64,210.0,66,"['194626', '258569', '89769', '383599', '381992', '1017138']",78,167.4
1337,0,0,0,0,"['98888', '274422', '295663', '147629', '208299']",76,"['208299', '295663', '147629', '274422', '98888']",68,276.0,64,"['295663', '147629', '208299', '98888', '274422']",74,240.0
1338,0,0,0,0,"['1328777', '407467', '741111', '1134295', '1251412']",40,"['1251412', '1328777', '407467', '741111', '1134295']",36,26.0,38,"['1328777', '407467', '741111', '1134295', '1251412']",38,20.8
1339,0,0,0,0,"['358075', '102601', '367089', '390773', '367812']",52,"['102601', '358075', '367089', '390773', '367812']",44,7.8,44,"['358075', '367089', '390773', '367812', '102601']",48,7.2
1340,0,0,0,0,"['710361', '249522', '306617', '1397033', '393587', '36142', '2150781']",68,"['2150781', '393587', '36142', '249522', '710361', '306617', '1397033']",52,3325.8,48,"['710361', '249522', '1397033', '393587', '306617', '2150781', '36142']",68,1743.4
1341,0,0,0,0,"['287261', '111873', '32895']",40,"['32895', '287261', '111873']",36,0,38,"['287261', '111873', '32895']",38,0
1342,0,0,0,0,"['753126', '392017', '102601', '5307', '868058', '1164787', '254402']",118,"['254402', '868058', '5307', '753126', '102601', '1164787', '392017']",64,22.0,52,"['392017', '1164787', '254402', '5307', '753126', '868058', '102601']",82,60.0
1343,0,0,0,0,"['384917', '1164783', '1101327', '119063', '43851']",62,"['43851', '1101327', '384917', '119063', '1164783']",52,88.0,56,"['384917', '1101327', '1164783', '43851', '119063']",62,86.0
1344,0,0,0,0,"['374101', '17032', '68048']",52,"['68048', '17032', '374101']",46,84.0,44,"['17032', '68048', '374101']",50,86.0
