Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound,bab_order,bab_distance
30,0,0,0,0,"['308245', '137041', '341789', '316459']",48,"['308245', '137041', '341789', '316459']",48,48,"['308245', '137041', '341789', '316459']",48
31,0,0,0,0,"['145613', '363243', '365167', '387191', '1192416', '1321', '1101319']",104,"['145613', '1321', '1192416', '1101319', '387191', '365167', '363243']",72,44,"['145613', '1321', '1192416', '1101319', '363243', '365167', '387191']",80
32,0,0,0,0,"['1147851', '61210', '231434', '76182', '388082', '388746', '361415', '379553', '357344', '396342', '89769', '391835', '359287', '160922', '392028', '108775', '274852', '286783']",128,"['286783', '108775', '274852', '391835', '359287', '392028', '160922', '89769', '396342', '357344', '388746', '388082', '231434', '76182', '61210', '361415', '379553', '1147851']",88,32,"['61210', '396342', '361415', '379553', '388082', '1147851', '391835', '357344', '108775', '274852', '89769', '76182', '286783', '388746', '231434', '392028', '160922', '359287']",160
33,0,0,0,0,"['106685', '260033', '103926', '205427']",48,"['205427', '106685', '260033', '103926']",48,46,"['106685', '260033', '103926', '205427']",48
34,0,0,0,0,"['257415', '111873', '287467', '1101838', '287261', '1689273', '398302']",88,"['398302', '1689273', '111873', '287261', '1101838', '287467', '257415']",68,36,"['1101838', '287467', '1689273', '257415', '398302', '111873', '287261']",72
35,0,0,0,0,"['148548', '143230', '398335', '398325', '36346', '230013']",48,"['398335', '148548', '143230', '398325', '36346', '230013']",40,36,"['148548', '143230', '398325', '36346', '230013', '398335']",40
36,0,0,0,0,"['365028', '387238', '366339', '223681']",52,"['223681', '365028', '387238', '366339']",52,42,"['365028', '387238', '366339', '223681']",52
37,0,0,0,0,"['81941', '227150', '287164', '89769']",80,"['227150', '287164', '81941', '89769']",64,36,"['227150', '89769', '81941', '287164']",64
38,0,0,0,0,"['31378', '108335', '5697', '2489041']",68,"['31378', '5697', '108335', '2489041']",64,60,"['31378', '108335', '2489041', '5697']",64
39,0,0,0,0,"['392017', '391888', '378837', '1333672', '1164788', '276338', '185422']",56,"['392017', '391888', '378837', '1333672', '185422', '1164788', '276338']",56,44,"['392017', '391888', '378837', '1333672', '1164788', '276338', '185422']",56
40,0,0,0,0,"['204257', '193832', '60315', '679025']",56,"['204257', '60315', '193832', '679025']",52,44,"['679025', '193832', '60315', '204257']",52
41,0,0,0,0,"['335765', '30440', '230546', '41100']",40,"['230546', '41100', '335765', '30440']",40,36,"['230546', '335765', '30440', '41100']",40
42,0,0,0,0,"['360218', '137790', '24294', '131627', '145989', '251547', '244708']",84,"['137790', '24294', '131627', '360218', '145989', '251547', '244708']",64,52,"['24294', '131627', '145989', '251547', '244708', '360218', '137790']",76
43,0,0,0,0,"['5735', '350562', '180023', '32895', '22234', '321099', '111873', '499508', '1101259', '392000']",72,"['1101259', '180023', '350562', '32895', '111873', '5735', '321099', '392000', '22234', '499508']",44,34,"['5735', '350562', '180023', '32895', '22234', '321099', '111873', '392000', '499508', '1101259']",60
44,0,0,0,0,"['207762', '392705', '46071', '324086', '475132', '475125']",72,"['324086', '475132', '207762', '392705', '46071', '475125']",52,34,"['46071', '475125', '207762', '392705', '475132', '324086']",52
45,0,0,0,0,"['307102', '1101337', '387191', '2150316', '2620913', '2620902', '1102073']",68,"['387191', '1101337', '307102', '2150316', '2620913', '2620902', '1102073']",60,70,"['2150316', '2620913', '2620902', '1102073', '307102', '1101337', '387191']",60
46,0,0,0,0,"['1192448', '184241', '226774', '185422', '950952', '193832']",60,"['184241', '226774', '185422', '193832', '950952', '1192448']",60,44,"['1192448', '184241', '226774', '185422', '950952', '193832']",60
47,0,0,0,0,"['231434', '286783', '274852', '49524', '170758', '76182', '264804', '1456044', '108775', '380552', '227318', '408295', '408451', '308223', '59538', '348200', '1101294', '1101291', '1101290', '1101292', '385901', '207762', '311912', '19704', '357643', '375582', '475110', '660042', '54430', '395701', '236272']",172,"['385901', '1101292', '1101290', '1101291', '1101294', '207762', '348200', '59538', '311912', '19704', '170758', '108775', '1456044', '264804', '76182', '49524', '475110', '357643', '375582', '380552', '408451', '308223', '660042', '408295', '227318', '54430', '395701', '236272', '231434', '286783', '274852']",84,28,"['264804', '357643', '348200', '49524', '207762', '76182', '231434', '375582', '54430', '475110', '380552', '1101290', '385901', '1101294', '170758', '108775', '227318', '408295', '408451', '395701', '236272', '286783', '19704', '311912', '59538', '308223', '1456044', '660042', '1101291', '1101292', '274852']",208
